year,population,fertility_rate,death_rate_per_1000,net_migration
1960,667070000,4.45,25.43,-16927
1961,660330000,3.86,14.24,-25578
1962,665770000,6.09,10.02,-31305
1963,682335000,7.51,10.04,-31383
1964,698355000,6.67,11.5,-1250441
1965,715185000,6.61,9.5,-130900
1966,735400000,6.31,8.83,4165
1967,754550000,5.81,8.43,1246654
1968,774510000,6.51,8.21,-37290
1969,796025000,6.18,8.03,-72836
1970,818315000,6.09,7.6,-126510
1971,841105000,5.52,7.32,-180153
1972,862030000,5.11,7.61,-215650
1973,881940000,4.73,7.04,-214997
1974,900350000,4.17,7.34,-175239
1975,916395000,3.57,7.32,-115173
1976,930685000,3.24,7.25,-55109
1977,943455000,2.84,6.87,-15323
1978,956165000,2.72,6.25,-9916
1979,969005000,2.75,6.21,-13704
1980,981235000,2.74,6.34,-20129
1981,993885000,2.79,6.36,-28016
1982,1008630000,2.97,6.6,-36181
1983,1023310000,2.56,6.9,-43756
1984,1036825000,2.61,6.82,-51961
1985,1051040000,2.63,6.78,-60929
1986,1066790000,2.72,6.86,-79190
1987,1084035000,2.76,6.72,-169170
1988,1101630000,2.54,6.64,-282194
1989,1118650000,2.52,6.54,-313476
1990,1135185000,2.51,6.67,-11187
1991,1150780000,1.93,6.7,-544650
1992,1164970000,1.78,6.64,-142985
1993,1178440000,1.69,6.64,-373316
1994,1191835000,1.63,6.49,-723641
1995,1204855000,1.59,6.57,-365986
1996,1217550000,1.55,6.56,-250750
1997,1230075000,1.53,6.51,-279251
1998,1241935000,1.52,6.5,-40472
1999,1252735000,1.53,6.46,-96102
2000,1262645000,1.63,6.45,-62622
2001,1271850000,1.56,6.43,-176419
2002,1280400000,1.57,6.41,-761291
2003,1288400000,1.57,6.4,-613223
2004,1296075000,1.61,6.42,-770977
2005,1303720000,1.62,6.51,-103701
2006,1311020000,1.64,6.81,-759559
2007,1317885000,1.67,6.93,-1042019
2008,1324655000,1.7,7.06,-764370
2009,1331260000,1.71,7.08,-177135
2010,1337705000,1.69,7.11,-184144
2011,1345035000,1.67,7.14,-416189
2012,1354190000,1.8,7.13,-58864
2013,1363240000,1.71,7.13,-188951
2014,1371860000,1.77,7.12,-371108
2015,1379860000,1.67,7.07,-646941
2016,1387790000,1.77,7.04,-153056
2017,1396215000,1.8,7.06,-94625
2018,1402760000,1.54,7.08,-198206
2019,1407745000,1.5,7.09,-656091
2020,1411100000,1.24,7.07,-91577
2021,1412360000,1.12,7.18,-379749
2022,1412175000,1.03,7.37,-293846
2023,1410710000,1,7.87,-567724
